Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,914,819,"1,253","1,312","1,842",-,-,-,-,-,-,-
Acura MDX,"2,827","5,379","8,782","7,685","7,041",-,-,-,-,-,-,-
Acura NSX,6,4,7,12,15,-,-,-,-,-,-,-
Acura RDX,"3,386","3,520","4,706","4,576","5,864",-,-,-,-,-,-,-
Acura RLX,59,43,42,26,16,-,-,-,-,-,-,-
Acura TLX,"1,312","1,788","3,041","2,848","3,375",-,-,-,-,-,-,-
Alfa Romeo 4C,8,8,9,-,-,-,-,-,-,-,-,-
Alfa Romeo Giulia,661,661,743,-,-,-,-,-,-,-,-,-
Alfa Romeo Stelvio,818,818,921,-,-,-,-,-,-,-,-,-
Audi A3,425,425,478,-,-,-,-,-,-,-,-,-
Audi A4,"1,623","1,623","1,826",-,-,-,-,-,-,-,-,-
Audi A5,"1,362","1,362","1,533",-,-,-,-,-,-,-,-,-
Audi A6,996,996,"1,121",-,-,-,-,-,-,-,-,-
Audi A7,316,316,356,-,-,-,-,-,-,-,-,-
Audi A8,141,141,159,-,-,-,-,-,-,-,-,-
Audi eTron,"1,384","1,384","1,557",-,-,-,-,-,-,-,-,-
Audi Q3,"2,744","2,744","3,087",-,-,-,-,-,-,-,-,-
Audi Q5,"4,714","4,714","5,303",-,-,-,-,-,-,-,-,-
Audi Q7,"2,468","2,468","2,777",-,-,-,-,-,-,-,-,-
Audi Q8,"1,156","1,156","1,300",-,-,-,-,-,-,-,-,-
Audi R8,47,47,53,-,-,-,-,-,-,-,-,-
Audi TT,85,85,96,-,-,-,-,-,-,-,-,-
BMW 2-Series,"1,698","1,698","1,911",-,-,-,-,-,-,-,-,-
BMW 3-Series,"3,016","3,016","3,393",-,-,-,-,-,-,-,-,-
BMW 4-Series,"1,531","1,531","1,723",-,-,-,-,-,-,-,-,-
BMW 5-Series,"2,059","2,059","2,316",-,-,-,-,-,-,-,-,-
BMW 6-Series,13,13,15,-,-,-,-,-,-,-,-,-
BMW 7-Series,614,614,691,-,-,-,-,-,-,-,-,-
BMW 8-Series,481,481,541,-,-,-,-,-,-,-,-,-
BMW i3,109,109,122,-,-,-,-,-,-,-,-,-
BMW i8,3,3,3,-,-,-,-,-,-,-,-,-
BMW X1,"1,270","1,270","1,428",-,-,-,-,-,-,-,-,-
BMW X2,428,428,481,-,-,-,-,-,-,-,-,-
BMW X3,"4,796","4,796","5,396",-,-,-,-,-,-,-,-,-
BMW X4,538,538,606,-,-,-,-,-,-,-,-,-
BMW X5,"4,064","4,064","4,572",-,-,-,-,-,-,-,-,-
BMW X6,652,652,734,-,-,-,-,-,-,-,-,-
BMW X7,"1,524","1,524","1,715",-,-,-,-,-,-,-,-,-
BMW Z4,62,109,70,-,-,-,-,-,-,-,-,-
Buick Enclave,"3,397","3,397","3,822",-,-,-,-,-,-,-,-,-
Buick Encore,"1,993","1,993","2,242",-,-,-,-,-,-,-,-,-
Buick Encore GX,"5,899","5,899","6,637",-,-,-,-,-,-,-,-,-
Buick Envision,"3,352","3,352","3,771",-,-,-,-,-,-,-,-,-
Cadillac CT4,841,841,946,-,-,-,-,-,-,-,-,-
Cadillac CT5,"1,400","1,400","1,575",-,-,-,-,-,-,-,-,-
Cadillac Escalade,"3,149","3,149","3,543",-,-,-,-,-,-,-,-,-
Cadillac XT4,"1,745","1,745","1,963",-,-,-,-,-,-,-,-,-
Cadillac XT5,"2,807","2,807","3,158",-,-,-,-,-,-,-,-,-
Cadillac XT6,"1,917","1,917","2,156",-,-,-,-,-,-,-,-,-
Chevrolet Blazer,"6,165","6,165","6,935",-,-,-,-,-,-,-,-,-
Chevrolet Bolt,"2,888","2,888","3,249",-,-,-,-,-,-,-,-,-
Chevrolet Camaro,"2,268","2,268","2,552",-,-,-,-,-,-,-,-,-
Chevrolet Colorado,"7,707","7,707","8,670",-,-,-,-,-,-,-,-,-
Chevrolet Corvette,"2,116","2,116","2,380",-,-,-,-,-,-,-,-,-
Chevrolet Equinox,"20,230","20,230","22,758",-,-,-,-,-,-,-,-,-
Chevrolet Express,"5,401","5,401","6,076",-,-,-,-,-,-,-,-,-
Chevrolet Impala,148,148,166,-,-,-,-,-,-,-,-,-
Chevrolet Malibu,"8,636","8,636","9,715",-,-,-,-,-,-,-,-,-
Chevrolet Silverado,"40,509","40,509","45,573",-,-,-,-,-,-,-,-,-
Chevrolet Sonic,341,341,383,-,-,-,-,-,-,-,-,-
Chevrolet Spark,"3,682","3,682","4,142",-,-,-,-,-,-,-,-,-
Chevrolet Suburban,"3,566","40,509","4,011",-,-,-,-,-,-,-,-,-
Chevrolet Tahoe,"7,369","7,369","8,290",-,-,-,-,-,-,-,-,-
Chevrolet TrailBlazer,"8,008","8,008","9,009",-,-,-,-,-,-,-,-,-
Chevrolet Traverse,"12,172","12,172","13,693",-,-,-,-,-,-,-,-,-
Chevrolet Trax,"5,426","5,426","6,104",-,-,-,-,-,-,-,-,-
Chrysler 300,"1,726","1,725","1,942",-,-,-,-,-,-,-,-,-
Chrysler Pacifica,"10,989",-,-,-,-,-,-,-,-,-,-,-
Chrysler Town and Country,-,"10,989","12,363",-,-,-,-,-,-,-,-,-
Dodge Challenger,"4,831","4,831","5,435",-,-,-,-,-,-,-,-,-
Dodge Charger,"6,317","6,317","7,106",-,-,-,-,-,-,-,-,-
Dodge Dart,1,-,-,-,-,-,-,-,-,-,-,-
Dodge Durango,"6,579","6,579","7,402",-,-,-,-,-,-,-,-,-
Dodge Grand Caravan,547,547,615,-,-,-,-,-,-,-,-,-
Dodge Journey,"2,202","2,202","2,477",-,-,-,-,-,-,-,-,-
Dodge Viper,1,1,1,-,-,-,-,-,-,-,-,-
Fiat 124 Spider,153,152,173,-,-,-,-,-,-,-,-,-
Fiat 500,1,1,1,-,-,-,-,-,-,-,-,-
Fiat 500L,22,22,25,-,-,-,-,-,-,-,-,-
Fiat 500X,85,85,95,-,-,-,-,-,-,-,-,-
Ford Bronco Sport,"8,050","5,526","9,780","13,856","14,947",-,-,-,-,-,-,-
Ford E-Series,"3,036","3,956","3,581","2,549","2,086",-,-,-,-,-,-,-
Ford EcoSport,"4,382","3,596","4,900","4,987","4,919",-,-,-,-,-,-,-
Ford Edge,"6,837","6,495","8,818","8,046","5,077",-,-,-,-,-,-,-
Ford Escape,"11,190","11,853","17,947","15,680","19,951",-,-,-,-,-,-,-
Ford Expedition,"5,109","7,228","9,926","8,880","8,912",-,-,-,-,-,-,-
Ford Explorer,"18,095","20,745","26,404","27,040","16,512",-,-,-,-,-,-,-
Ford F-Series,"55,276","64,478","84,043","66,302","46,260",-,-,-,-,-,-,-
Ford Fusion,"2,677","2,219","2,993","1,838","1,210",-,-,-,-,-,-,-
Ford GT,7,15,11,13,8,-,-,-,-,-,-,-
Ford Mustang,"4,324","5,653","7,267","8,000","4,436",-,-,-,-,-,-,-
Ford Mustang Mach E,238,"3,739","2,637","1,951","1,945",-,-,-,-,-,-,-
Ford Ranger,"6,102","6,954","11,110","12,801","14,303",-,-,-,-,-,-,-
Ford Transit,"7,498","9,189","10,764","11,445","8,381",-,-,-,-,-,-,-
Ford Transit Connect,"2,015","2,524","3,084","3,207","3,430",-,-,-,-,-,-,-
Genesis G70,532,563,769,801,"1,021",-,-,-,-,-,-,-
Genesis G80,649,420,443,434,501,-,-,-,-,-,-,-
Genesis G90,121,136,158,164,167,-,-,-,-,-,-,-
Genesis GV70,-,-,-,-,2,-,-,-,-,-,-,-
Genesis GV80,"1,521","1,283","1,636","1,895","2,037",-,-,-,-,-,-,-
GMC Acadia,"6,386","6,386","7,184",-,-,-,-,-,-,-,-,-
GMC Canyon,"2,286","2,286","2,572",-,-,-,-,-,-,-,-,-
GMC Savana,"20,133","1,871","2,105",-,-,-,-,-,-,-,-,-
GMC Sierra,"20,133","20,133","22,650",-,-,-,-,-,-,-,-,-
GMC Terrain,"5,413","5,413","6,090",-,-,-,-,-,-,-,-,-
GMC Yukon,"5,907","5,907","6,645",-,-,-,-,-,-,-,-,-
Honda Accord,"13,330","13,293","19,968","21,035","26,299",-,-,-,-,-,-,-
Honda Civic,"15,475","15,906","24,522","28,414","35,962",-,-,-,-,-,-,-
Honda Clarity FCV,263,420,464,419,330,-,-,-,-,-,-,-
Honda CR-V,"25,806","30,249","37,711","40,779","42,090",-,-,-,-,-,-,-
Honda Fit,"1,954","1,724","2,387","1,717",729,-,-,-,-,-,-,-
Honda HR-V,"6,369","8,181","11,625","13,005","15,242",-,-,-,-,-,-,-
Honda Insight,960,"1,217","1,682","1,871","1,980",-,-,-,-,-,-,-
Honda Odyssey,"5,336","5,537","9,193","9,022","10,071",-,-,-,-,-,-,-
Honda Passport,"3,010","3,686","4,914","5,239","5,092",-,-,-,-,-,-,-
Honda Pilot,"8,602","10,689","12,160","13,915","16,480",-,-,-,-,-,-,-
Honda Ridgeline,"2,616","3,873","6,081","4,607","4,387",-,-,-,-,-,-,-
Hyundai Accent,"1,036","1,448","1,788","2,711","2,162",-,-,-,-,-,-,-
Hyundai Elantra,"7,242","6,253","12,598","14,358","18,821",-,-,-,-,-,-,-
Hyundai Ioniq,937,"1,258","1,930","1,364","2,174",-,-,-,-,-,-,-
Hyundai Kona,"5,233","6,691","10,416","10,267","9,731",-,-,-,-,-,-,-
Hyundai Nexo,23,25,30,18,16,-,-,-,-,-,-,-
Hyundai Palisade,"5,669","6,354","9,184","8,278","8,051",-,-,-,-,-,-,-
Hyundai Santa Fe,"8,714","8,318","11,538","10,470","12,868",-,-,-,-,-,-,-
Hyundai Sonata,"5,020","6,202","9,335","10,216","13,487",-,-,-,-,-,-,-
Hyundai Tiburon,-,-,"15,744",-,-,-,-,-,-,-,-,-
Hyundai Tuscon,"7,980","9,423","15,744","16,901","18,848",-,-,-,-,-,-,-
Hyundai Veloster,193,222,272,322,244,-,-,-,-,-,-,-
Hyundai Venue,"1,347","1,869","2,568",-,"3,615",-,-,-,-,-,-,-
Infiniti Q50,"1,377","1,377","1,549",-,-,-,-,-,-,-,-,-
Infiniti Q60,220,220,247,-,-,-,-,-,-,-,-,-
Infiniti QX50,"2,056","2,056","2,313",-,-,-,-,-,-,-,-,-
Infiniti QX60,"1,061","1,061","1,193",-,-,-,-,-,-,-,-,-
Infiniti QX80,"1,389","1,389","1,563",-,-,-,-,-,-,-,-,-
Jaguar E-Pace,232,232,261,-,-,-,-,-,-,-,-,-
Jaguar F-Pace,660,660,743,-,-,-,-,-,-,-,-,-
Jaguar F-Type,195,195,220,-,-,-,-,-,-,-,-,-
Jaguar I-Pace,82,82,92,-,-,-,-,-,-,-,-,-
Jaguar XE,50,50,56,-,-,-,-,-,-,-,-,-
Jaguar XF,73,73,82,-,-,-,-,-,-,-,-,-
Jaguar XJ,3,3,4,-,-,-,-,-,-,-,-,-
Jeep Cherokee,"12,135","12,135","13,652",-,-,-,-,-,-,-,-,-
Jeep Compass,"6,387","6,387","7,185",-,-,-,-,-,-,-,-,-
Jeep Gladiator,"6,023","6,023","6,776",-,-,-,-,-,-,-,-,-
Jeep Grand Cherokee,"17,663","17,663","19,871",-,-,-,-,-,-,-,-,-
Jeep Renegade,"5,119","5,119","5,759",-,-,-,-,-,-,-,-,-
Jeep Wrangler,"15,887","15,887","17,873",-,-,-,-,-,-,-,-,-
Kia Cadenza,55,46,54,25,13,-,-,-,-,-,-,-
Kia Carnival,-,573,"1,467","2,383","3,742",-,-,-,-,-,-,-
Kia Forte,"7,021","7,370","10,459","9,626","13,323",-,-,-,-,-,-,-
Kia K5,"5,443","6,218","8,717",-,"12,459",-,-,-,-,-,-,-
Kia K900,20,14,22,7,4,-,-,-,-,-,-,-
Kia Niro,"1,262","1,296","1,753","1,990","2,883",-,-,-,-,-,-,-
Kia Optima,16,-,-,-,-,-,-,-,-,-,-,-
Kia Rio,"1,733","2,191","2,894","2,879","3,386",-,-,-,-,-,-,-
Kia Sedona,510,-,-,-,-,-,-,-,-,-,-,-
Kia Seltos,"4,992","5,297","6,497","6,471","5,360",-,-,-,-,-,-,-
Kia Sorento,"5,302","5,730","8,692","10,040","11,144",-,-,-,-,-,-,-
Kia Soul,"5,377","4,915","6,899","6,770","7,716",-,-,-,-,-,-,-
Kia Sportage,-,"7,033","9,471","8,094","11,035",-,-,-,-,-,-,-
Kia Stinger,695,742,"1,007","1,193","1,457",-,-,-,-,-,-,-
Kia Telluride,"6,626","6,637","8,591","8,195","7,776",-,-,-,-,-,-,-
Land Rover Defender,"1,572","1,572","1,769",-,-,-,-,-,-,-,-,-
Land Rover Discovery / LR4,126,126,141,-,-,-,-,-,-,-,-,-
Land Rover Discovery Sport,793,793,892,-,-,-,-,-,-,-,-,-
Land Rover Range Rover,911,911,"1,092",-,-,-,-,-,-,-,-,-
Land Rover Range Rover Evoque,782,782,879,-,-,-,-,-,-,-,-,-
Land Rover Range Rover Sport,"1,837","1,837","2,067",-,-,-,-,-,-,-,-,-
Land Rover Range Rover Velar,684,684,769,-,-,-,-,-,-,-,-,-
Lexus ES,"2,654","2,874","4,664","3,251","4,996",-,-,-,-,-,-,-
Lexus GS,31,14,7,12,5,-,-,-,-,-,-,-
Lexus GX,"2,060","2,280","3,337","2,641","2,938",-,-,-,-,-,-,-
Lexus IS,"1,609","1,905","2,514","2,414","2,774",-,-,-,-,-,-,-
Lexus LC,213,203,238,306,335,-,-,-,-,-,-,-
Lexus LS,383,351,403,372,404,-,-,-,-,-,-,-
Lexus LX,493,423,424,417,338,-,-,-,-,-,-,-
Lexus NX,"3,844","4,152","6,466","5,404","6,453",-,-,-,-,-,-,-
Lexus RC,213,207,357,312,302,-,-,-,-,-,-,-
Lexus RX,"7,086","7,905","12,950","10,146","8,953",-,-,-,-,-,-,-
Lexus UX,"1,055","1,112","1,826","1,753","2,226",-,-,-,-,-,-,-
Lincoln Aviator,"1,939","1,615","2,532","2,844","1,927",-,-,-,-,-,-,-
Lincoln Continental,263,231,274,258,171,-,-,-,-,-,-,-
Lincoln MKC,"2,019","2,116","2,979","2,821","2,348",-,-,-,-,-,-,-
Lincoln MKX/Nautilus,"1,740","2,589","2,043","2,609","2,104",-,-,-,-,-,-,-
Lincoln MKZ,425,398,415,267,101,-,-,-,-,-,-,-
Lincoln Navigator,"1,355","1,715","1,762","1,669","1,492",-,-,-,-,-,-,-
Mazda 3,"3,046","7,275","3,863","3,794","4,525",-,-,-,-,-,-,-
Mazda 5,-,60,-,-,-,-,-,-,-,-,-,-
Mazda 6,"1,398","3,617","1,560","1,517","2,335",-,-,-,-,-,-,-
Mazda CX-3,374,"1,793",620,893,967,-,-,-,-,-,-,-
Mazda CX-30,"3,624",-,"5,960","5,532","7,959",-,-,-,-,-,-,-
Mazda CX-5,"13,583","7,579","15,080","14,883","20,595",-,-,-,-,-,-,-
Mazda CX-9,"2,698",461,"3,537","3,188","4,409",-,-,-,-,-,-,-
Mazda MX-5 Miata,536,759,"1,371","1,310","1,397",-,-,-,-,-,-,-
Mercedes-Benz A-Class,"1,052","1,052","1,184",-,-,-,-,-,-,-,-,-
Mercedes-Benz AMG GT,388,388,436,-,-,-,-,-,-,-,-,-
Mercedes-Benz C-Class,"2,463","2,463","2,771",-,-,-,-,-,-,-,-,-
Mercedes-Benz CLA-Class,759,759,854,-,-,-,-,-,-,-,-,-
Mercedes-Benz E / CLS-Class,"2,624","2,624","2,952",-,-,-,-,-,-,-,-,-
Mercedes-Benz G-Class,547,547,615,-,-,-,-,-,-,-,-,-
Mercedes-Benz GL/GLS-Class,"2,411","2,411","2,712",-,-,-,-,-,-,-,-,-
Mercedes-Benz GLA-Class,"1,720","1,720","1,935",-,-,-,-,-,-,-,-,-
Mercedes-Benz GLB,"2,266","2,266","2,549",-,-,-,-,-,-,-,-,-
Mercedes-Benz GLC/GLK-Class,"4,982","4,982","5,605",-,-,-,-,-,-,-,-,-
Mercedes-Benz GLE-Class,"5,334","5,334","6,000",-,-,-,-,-,-,-,-,-
Mercedes-Benz Metris,933,"1,049","1,049",-,-,-,-,-,-,-,-,-
Mercedes-Benz S-Class,334,334,375,-,-,-,-,-,-,-,-,-
Mercedes-Benz SL-Class,100,100,112,-,-,-,-,-,-,-,-,-
Mercedes-Benz SLC-Class,63,63,71,-,-,-,-,-,-,-,-,-
Mercedes-Benz Sprinter,"2,798","2,798","3,148",-,-,-,-,-,-,-,-,-
Mini Cooper,"1,319","1,319","1,484",-,-,-,-,-,-,-,-,-
Mini Countryman,692,692,778,-,-,-,-,-,-,-,-,-
Mitsubishi Eclipse Cross,507,507,570,-,-,-,-,-,-,-,-,-
Mitsubishi Mirage,"2,218","2,218","2,496",-,-,-,-,-,-,-,-,-
Mitsubishi Outlander,"1,314","1,314","1,478",-,-,-,-,-,-,-,-,-
Mitsubishi Outlander PHEV,81,81,91,-,-,-,-,-,-,-,-,-
Mitsubishi Outlander Sport,"4,914","4,914","5,528",-,-,-,-,-,-,-,-,-
Nissan 370Z,9,9,10,-,-,-,-,-,-,-,-,-
Nissan Altima,"10,245","10,245","11,526",-,-,-,-,-,-,-,-,-
Nissan Armada,"2,431","2,431","2,735",-,-,-,-,-,-,-,-,-
Nissan Frontier,"3,450","3,450","3,881",-,-,-,-,-,-,-,-,-
Nissan GT-R,16,16,18,-,-,-,-,-,-,-,-,-
Nissan Kicks,"7,815","7,815","8,792",-,-,-,-,-,-,-,-,-
Nissan Leaf,936,936,"1,053",-,-,-,-,-,-,-,-,-
Nissan Maxima,"1,538","1,538","1,731",-,-,-,-,-,-,-,-,-
Nissan Murano,"3,687","3,687","4,148",-,-,-,-,-,-,-,-,-
Nissan NV,"1,304","1,304","1,467",-,-,-,-,-,-,-,-,-
Nissan NV200,"1,772","1,772","1,994",-,-,-,-,-,-,-,-,-
Nissan Pathfinder,"2,850","2,850","3,206",-,-,-,-,-,-,-,-,-
Nissan Rogue,"27,750","27,750","31,219",-,-,-,-,-,-,-,-,-
Nissan Sentra,"11,916","11,916","13,406",-,-,-,-,-,-,-,-,-
Nissan Titan,"2,388","2,388","2,687",-,-,-,-,-,-,-,-,-
Nissan Versa,"7,166","7,166","8,062",-,-,-,-,-,-,-,-,-
Porsche 718,482,482,542,-,-,-,-,-,-,-,-,-
Porsche 911,890,890,"1,002",-,-,-,-,-,-,-,-,-
Porsche Cayenne,"1,354","1,354","1,523",-,-,-,-,-,-,-,-,-
Porsche Macan,"2,045","2,045","2,301",-,-,-,-,-,-,-,-,-
Porsche Panamera,144,144,162,-,-,-,-,-,-,-,-,-
Porsche Taycan,643,643,723,-,-,-,-,-,-,-,-,-
Ram Pickup,"47,628","47,628","53,581",-,-,-,-,-,-,-,-,-
Ram ProMaster,"3,482","3,482","3,917",-,-,-,-,-,-,-,-,-
Ram ProMaster City,"1,025","1,025","1,153",-,-,-,-,-,-,-,-,-
Subaru Ascent,"4,743","4,619","5,111","4,398","4,310",-,-,-,-,-,-,-
Subaru BRZ,163,179,241,118,19,-,-,-,-,-,-,-
Subaru CrossTrek,"10,431","10,691","14,065","12,599","10,013",-,-,-,-,-,-,-
Subaru Forester,"13,207","13,482","21,005","19,452","20,006",-,-,-,-,-,-,-
Subaru Impreza,"2,771","2,708","3,636","3,447","2,946",-,-,-,-,-,-,-
Subaru Impreza WRX,"1,555","1,721","2,290","3,183","3,169",-,-,-,-,-,-,-
Subaru Legacy,"1,746","2,234","2,325","2,464","2,101",-,-,-,-,-,-,-
Subaru Outback,"11,784","12,666","17,053","15,728","13,994",-,-,-,-,-,-,-
Tesla Model 3,"7,395","7,395","8,320",-,-,-,-,-,-,-,-,-
Tesla Model S,"1,330","1,330","1,496",-,-,-,-,-,-,-,-,-
Tesla Model X,"1,634","1,634","1,838",-,-,-,-,-,-,-,-,-
Tesla Model Y,"10,761","10,761","12,106",-,-,-,-,-,-,-,-,-
Toyota 4Runner,"12,430","11,878","12,955","11,989","11,370",-,-,-,-,-,-,-
Toyota 86 / FR-S,209,222,333,172,71,-,-,-,-,-,-,-
Toyota Avalon,"1,528","1,483","2,125","2,036","1,867",-,-,-,-,-,-,-
Toyota C-HR,"2,839","3,049","4,513","5,242","6,004",-,-,-,-,-,-,-
Toyota Camry,"21,771","23,839","32,541","29,939","37,676",-,-,-,-,-,-,-
Toyota Corolla,"19,266","22,346","30,908","31,222","30,433",-,-,-,-,-,-,-
Toyota Highlander,"16,774","19,064","27,993","27,679","28,834",-,-,-,-,-,-,-
Toyota Land Cruiser,689,567,640,750,664,-,-,-,-,-,-,-
Toyota Mirai,85,69,715,354,265,-,-,-,-,-,-,-
Toyota Prius Family,"3,007","4,154","6,889","8,352","10,533",-,-,-,-,-,-,-
Toyota RAV4,"31,364","35,813","47,078","40,895","30,018",-,-,-,-,-,-,-
Toyota Sequoia,674,611,752,770,795,-,-,-,-,-,-,-
Toyota Sienna,"6,944","7,838",-,-,-,-,-,-,-,-,-,-
Toyota Supra,394,503,828,987,"1,049",-,-,-,-,-,-,-
Toyota Tacoma,"18,878","20,578","26,993","24,448","23,488",-,-,-,-,-,-,-
Toyota Tundra,"6,334","5,819","6,981","7,512","9,595",-,-,-,-,-,-,-
Toyota Venza,"3,358","3,753","6,512","8,112","9,318",-,-,-,-,-,-,-
Toyota Yaris,47,39,45,32,29,-,-,-,-,-,-,-
Volkswagen Arteon,352,352,396,-,-,-,-,-,-,-,-,-
Volkswagen Atlas,"6,150","6,150","6,918",-,-,-,-,-,-,-,-,-
Volkswagen Atlas Sport,"3,617","3,617","4,069",-,-,-,-,-,-,-,-,-
Volkswagen Golf,505,505,568,-,-,-,-,-,-,-,-,-
Volkswagen ID.4,-,-,474,-,-,-,-,-,-,-,-,-
Volkswagen Jetta,"7,268","7,268","8,177",-,-,-,-,-,-,-,-,-
Volkswagen Passat,"1,451","1,451","1,633",-,-,-,-,-,-,-,-,-
Volkswagen Tiguan,"8,725","8,725","9,815",-,-,-,-,-,-,-,-,-
Volvo 60-Series,"1,571","1,594","1,452","1,076",988,-,-,-,-,-,-,-
Volvo 90-Series,136,253,205,128,136,-,-,-,-,-,-,-
Volvo XC40,"1,756","1,886","2,162","2,704","3,486",-,-,-,-,-,-,-
Volvo XC60,"2,196","2,757","2,937","3,610","4,417",-,-,-,-,-,-,-
Volvo XC90,"2,492","2,674","3,168","3,528","4,194",-,-,-,-,-,-,-
