Law Id,State,Title,Significant_Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
11840,MN,All-Electric Vehicle (EV) Fee,2017-05-30 00:00:00 UTC,FALSE,48,Laws and Regulations,,2017-07-20 18:07:58 UTC,,,,,ELEC,,FUEL,FLEET|IND,https://www.leg.state.mn.us/|https://www.revisor.mn.gov/pubs/
11851,MN,Biofuel Production Grant Program,2017-08-10 21:12:28 UTC,FALSE,20,State Incentives,,2017-08-10 21:12:28 UTC,,,,,BIOD,GNT,,AFP,https://www.revisor.mn.gov/pubs/|https://www.leg.state.mn.us/
11921,MN,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Xcel Energy,2018-02-16 14:42:07 UTC,FALSE,40,Utility/Private Incentives,,2018-02-16 14:42:07 UTC,,,,,ELEC|PHEV,OTHER,,STATION|IND,
11944,MN,Plug-In Electric Vehicle (PEV) Wind Energy Promotion - Great River Energy,2018-04-13 19:30:16 UTC,FALSE,42,Utility/Private Incentives,,2018-04-13 19:30:16 UTC,,,,,ELEC|PHEV,OTHER,,STATION|FLEET|GOV|IND,
11993,MN,Connected and Automated Vehicles (CAVs) Advisory Council and Support,2018-03-05 00:00:00 UTC,FALSE,51,Laws and Regulations,,2019-08-06 17:29:07 UTC,,,,,AUTONOMOUS,,DREST,OTHER,https://www.leg.state.mn.us/lrl/execorders/execorders|https://www.leg.state.mn.us/lrl/execorders/execorders
12065,MN,Residential Plug-In Electric Vehicle (PEV) Charging Pilot Program - Xcel Energy,2018-10-02 20:38:18 UTC,FALSE,41,Utility/Private Incentives,,2018-10-02 20:38:18 UTC,,,,,ELEC|PHEV,OTHER,,STATION|IND,
12147,MN,Plug-In Electric Vehicle (PEV) Charging Rate Reduction and EVSE Rebate - LREC,2019-02-08 20:50:19 UTC,FALSE,37,Utility/Private Incentives,,2019-02-08 20:50:19 UTC,,,,,ELEC|PHEV,OTHER|RBATE,,STATION|IND,
12265,MN,Advanced Technology Business Incentives,2019-05-30 00:00:00 UTC,FALSE,15,State Incentives,,2019-08-06 16:51:39 UTC,2024-01-01 00:00:00 UTC,,,,ETH,GNT|OTHER,,FLEET,https://www.leg.state.mn.us/
12267,MN,Electric Vehicle Supply Equipment (EVSE) Rebate and Rate Reduction - Otter Tail Power,2019-08-06 17:06:12 UTC,FALSE,36,Utility/Private Incentives,,2019-08-06 17:06:12 UTC,,,,,ELEC|PHEV,OTHER|RBATE,,STATION|IND,
12323,MN,Plug-In Electric Vehicle (PEV) Toll Credit Pilot Program  ,2019-12-03 16:34:46 UTC,FALSE,9,State Incentives,,2019-12-03 16:34:46 UTC,,,,,ELEC|PHEV,OTHER,,IND,
